Year-Month,Value
1961-04,0.13
1961-05,0.12
1961-06,0.11
1961-07,0.01
1961-08,0.01
1961-09,0.09
1961-10,0.0
1961-11,0.03
1961-12,-0.16
1962-01,0.05
1962-02,0.15
1962-03,0.1
1962-04,0.05
1962-05,-0.06
1962-06,0.03
1962-07,0.02
1962-08,-0.01
1962-09,0.0
1962-10,0.01
1962-11,0.06
1962-12,-0.03
1963-01,-0.03
1963-02,0.18
1963-03,-0.14
1963-04,-0.07
1963-05,-0.06
1963-06,0.05
1963-07,0.06
1963-08,0.22
1963-09,0.18
1963-10,0.15
1963-11,0.15
1963-12,-0.03
1964-01,-0.09
1964-02,-0.1
1964-03,-0.21
1964-04,-0.32
1964-05,-0.25
1964-06,-0.04
1964-07,-0.04
1964-08,-0.22
1964-09,-0.29
1964-10,-0.32
1964-11,-0.21
1964-12,-0.3
1965-01,-0.08
1965-02,-0.17
1965-03,-0.13
1965-04,-0.19
1965-05,-0.12
1965-06,-0.08
1965-07,-0.13
1965-08,-0.04
1965-09,-0.15
1965-10,-0.05
1965-11,-0.06
1965-12,-0.08
1966-01,-0.19
1966-02,-0.04
1966-03,0.03
1966-04,-0.13
1966-05,-0.12
1966-06,0.01
1966-07,0.08
1966-08,-0.09
1966-09,-0.03
1966-10,-0.17
1966-11,-0.01
1966-12,-0.03
1967-01,-0.07
1967-02,-0.2
1967-03,0.05
1967-04,-0.05
1967-05,0.12
1967-06,-0.08
1967-07,0.02
1967-08,0.01
1967-09,-0.06
1967-10,0.09
1967-11,-0.05
1967-12,-0.05
1968-01,-0.26
1968-02,-0.14
1968-03,0.2
1968-04,-0.06
1968-05,-0.14
1968-06,-0.09
1968-07,-0.13
1968-08,-0.09
1968-09,-0.19
1968-10,0.09
1968-11,-0.05
1968-12,-0.14
1969-01,-0.11
1969-02,-0.18
1969-03,0.01
1969-04,0.17
1969-05,0.18
1969-06,0.03
1969-07,-0.04
1969-08,0.03
1969-09,0.08
1969-10,0.09
1969-11,0.12
1969-12,0.24
1970-01,0.08
1970-02,0.22
1970-03,0.06
1970-04,0.05
1970-05,-0.03
1970-06,-0.03
1970-07,0.01
1970-08,-0.1
1970-09,0.12
1970-10,0.03
1970-11,0.02
1970-12,-0.12
1971-01,-0.02
1971-02,-0.15
1971-03,-0.18
1971-04,-0.07
1971-05,-0.05
1971-06,-0.17
1971-07,-0.08
1971-08,-0.01
1971-09,-0.06
1971-10,-0.04
1971-11,-0.07
1971-12,-0.08
1972-01,-0.22
1972-02,-0.18
1972-03,0.02
1972-04,0.0
1972-05,-0.03
1972-06,0.04
1972-07,0.01
1972-08,0.16
1972-09,0.02
1972-10,0.08
1972-11,0.02
1972-12,0.18
1973-01,0.29
1973-02,0.32
1973-03,0.29
1973-04,0.27
1973-05,0.23
1973-06,0.19
1973-07,0.13
1973-08,0.05
1973-09,0.09
1973-10,0.1
1973-11,0.05
1973-12,-0.07
1974-01,-0.1
1974-02,-0.27
1974-03,-0.05
1974-04,-0.12
1974-05,-0.04
1974-06,-0.05
1974-07,-0.03
1974-08,0.1
1974-09,-0.08
1974-10,-0.06
1974-11,-0.08
1974-12,-0.08
1975-01,0.1
1975-02,0.08
1975-03,0.13
1975-04,0.04
1975-05,0.16
1975-06,-0.01
1975-07,-0.01
1975-08,-0.17
1975-09,-0.02
1975-10,-0.11
1975-11,-0.17
1975-12,-0.17
1976-01,-0.03
1976-02,-0.06
1976-03,-0.21
1976-04,-0.07
1976-05,-0.21
1976-06,-0.12
1976-07,-0.1
1976-08,-0.12
1976-09,-0.06
1976-10,-0.24
1976-11,-0.06
1976-12,0.11
1977-01,0.18
1977-02,0.23
1977-03,0.24
1977-04,0.26
1977-05,0.33
1977-06,0.27
1977-07,0.2
1977-08,0.18
1977-09,0.02
1977-10,0.03
1977-11,0.16
1977-12,0.03
1978-01,0.06
1978-02,0.1
1978-03,0.19
1978-04,0.17
1978-05,0.09
1978-06,-0.01
1978-07,0.04
1978-08,-0.13
1978-09,0.06
1978-10,0.03
1978-11,0.14
1978-12,0.08
1979-01,0.08
1979-02,-0.1
1979-03,0.19
1979-04,0.15
1979-05,0.04
1979-06,0.14
1979-07,0.04
1979-08,0.17
1979-09,0.25
1979-10,0.26
1979-11,0.28
1979-12,0.48
1980-01,0.3
1980-02,0.4
1980-03,0.3
1980-04,0.3
1980-05,0.35
1980-06,0.2
1980-07,0.22
1980-08,0.18
1980-09,0.2
1980-10,0.13
1980-11,0.3
1980-12,0.22
1981-01,0.53
1981-02,0.42
1981-03,0.48
1981-04,0.32
1981-05,0.25
1981-06,0.29
1981-07,0.32
1981-08,0.35
1981-09,0.15
1981-10,0.12
1981-11,0.23
1981-12,0.41
1982-01,0.05
1982-02,0.16
1982-03,0.03
1982-04,0.15
1982-05,0.18
1982-06,0.06
1982-07,0.15
1982-08,0.04
1982-09,0.14
1982-10,0.13
1982-11,0.18
1982-12,0.43
1983-01,0.53
1983-02,0.43
1983-03,0.42
1983-04,0.28
1983-05,0.34
1983-06,0.22
1983-07,0.18
1983-08,0.36
1983-09,0.37
1983-10,0.17
1983-11,0.3
1983-12,0.17
1984-01,0.31
1984-02,0.14
1984-03,0.26
1984-04,0.06
1984-05,0.33
1984-06,0.02
1984-07,0.19
1984-08,0.2
1984-09,0.21
1984-10,0.14
1984-11,0.07
1984-12,-0.04
1985-01,0.22
1985-02,-0.03
1985-03,0.18
1985-04,0.12
1985-05,0.15
1985-06,0.15
1985-07,0.04
1985-08,0.17
1985-09,0.13
1985-10,0.12
1985-11,0.05
1985-12,0.14
1986-01,0.26
1986-02,0.37
1986-03,0.3
1986-04,0.22
1986-05,0.21
1986-06,0.12
1986-07,0.11
1986-08,0.16
1986-09,0.03
1986-10,0.15
1986-11,0.1
1986-12,0.13
1987-01,0.32
1987-02,0.43
1987-03,0.18
1987-04,0.24
1987-05,0.26
1987-06,0.35
1987-07,0.4
1987-08,0.25
1987-09,0.35
1987-10,0.33
1987-11,0.29
1987-12,0.46
1988-01,0.57
1988-02,0.44
1988-03,0.52
1988-04,0.43
1988-05,0.44
1988-06,0.4
1988-07,0.33
1988-08,0.39
1988-09,0.37
1988-10,0.38
1988-11,0.12
1988-12,0.29
1989-01,0.13
1989-02,0.3
1989-03,0.36
1989-04,0.29
1989-05,0.17
1989-06,0.17
1989-07,0.34
1989-08,0.33
1989-09,0.34
1989-10,0.29
1989-11,0.2
1989-12,0.37
1990-01,0.41
1990-02,0.44
1990-03,0.8
1990-04,0.56
1990-05,0.45
1990-06,0.37
1990-07,0.46
1990-08,0.34
1990-09,0.23
1990-10,0.45
1990-11,0.46
1990-12,0.4
1991-01,0.43
1991-02,0.5
1991-03,0.35
1991-04,0.51
